Frequency,Attenuation,! FILETYPE CSV,
30000,-29.5897843762277,! VERSION 1.0,1
30970.970970971,-29.0887469648442,! TIMESTAMP Wednesday, 05 February 2020 16:51:31
31941.9419419419,-34.9456022797979,! NAME Agilent Technologies,
32912.9129129129,-36.2518502208205,! MODEL N9916A,
33883.8838838839,-29.6249970171967,! SERIAL MY53103049,
34854.8548548549,-34.1424020910372,! FIRMWARE_VERSION A.07.32,
35825.8258258258,-31.399854828699,! GPS_LATITUDE ,
36796.7967967968,-31.9029852595785,! GPS_LONGITUDE ,
37767.7677677678,-31.507894517925,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
38738.7387387387,-33.4587260070245,! GPS_SECS_SINCE_LAST_READ 0,
39709.7097097097,-39.452648548725,! CHECKSUM 1370790620,
40680.6806806807,-36.495757143065,! CORRECTION1 Rdy,
41651.6516516517,-34.2281197333176,! DATA Freq,S21
42622.6226226226,-37.7755670517237,! FREQ UNIT Hz,
43593.5935935936,-37.273546272178,! DATA UNIT dB,
44564.5645645646,-37.873850676514,BEGIN,
45535.5355355355,-38.6271159741485,,
46506.5065065065,-43.8878869524798,,
47477.4774774775,-38.8366771340323,,
48448.4484484485,-47.477360787726,,
49419.4194194194,-41.1364395036437,,
50390.3903903904,-39.7256070927354,,
51361.3613613614,-41.8965217491099,,
52332.3323323323,-37.8100880421105,,
53303.3033033033,-40.6515499393581,,
54274.2742742743,-42.5422552809472,,
55245.2452452453,-41.7568864960653,,
56216.2162162162,-45.2082109414176,,
57187.1871871872,-40.4288729696882,,
58158.1581581582,-43.4708139243315,,
59129.1291291291,-48.3829052559128,,
60100.1001001001,-47.1641694197214,,
61071.0710710711,-42.4380663864603,,
62042.0420420421,-40.8310229286216,,
63013.013013013,-41.6115142991758,,
63983.983983984,-43.0807182029327,,
64954.954954955,-44.4355739536066,,
65925.9259259259,-44.0178033754147,,
66896.8968968969,-45.4976299477999,,
67867.8678678679,-46.8784319344521,,
68838.8388388389,-45.7247650643458,,
69809.8098098098,-45.1359806579637,,
70780.7807807808,-43.5782985028102,,
71751.7517517518,-45.7939680297234,,
72722.7227227227,-46.9321603555513,,
73693.6936936937,-46.5077541493278,,
74664.6646646647,-46.3162374981518,,
75635.6356356357,-47.6137901673899,,
76606.6066066066,-48.6853062778309,,
77577.5775775776,-44.4660694090385,,
78548.5485485486,-51.8509744393236,,
79519.5195195195,-44.740561865794,,
80490.4904904905,-48.7100201014102,,
81461.4614614615,-51.2648205903668,,
82432.4324324325,-46.7873613701377,,
83403.4034034034,-46.6592783973086,,
84374.3743743744,-64.711839138407,,
85345.3453453454,-44.0090218721836,,
86316.3163163163,-56.241994680164,,
87287.2872872873,-52.5492142708743,,
88258.2582582583,-53.2540137374108,,
89229.2292292293,-49.6924017063587,,
90200.2002002002,-43.6978856756899,,
91171.1711711712,-51.8366302148726,,
92142.1421421422,-47.0705900928042,,
93113.1131131131,-46.8977907206491,,
