Frequency,Attenuation,! FILETYPE CSV,
30000,-28.2396917942195,! VERSION 1.0,1
30970.970970971,-29.9294101597837,! TIMESTAMP Wednesday, 05 February 2020 16:48:16
31941.9419419419,-33.0441626278012,! NAME Agilent Technologies,
32912.9129129129,-36.8886319160452,! MODEL N9916A,
33883.8838838839,-28.2018667971301,! SERIAL MY53103049,
34854.8548548549,-31.1800629375881,! FIRMWARE_VERSION A.07.32,
35825.8258258258,-36.3068999182686,! GPS_LATITUDE ,
36796.7967967968,-34.7206917469169,! GPS_LONGITUDE ,
37767.7677677678,-32.362060929474,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
38738.7387387387,-33.9708852547806,! GPS_SECS_SINCE_LAST_READ 0,
39709.7097097097,-34.954932262196,! CHECKSUM 1156735337,
40680.6806806807,-36.7155161864686,! CORRECTION1 Rdy,
41651.6516516517,-35.1435259650553,! DATA Freq,S21
42622.6226226226,-36.6941252834971,! FREQ UNIT Hz,
43593.5935935936,-36.7822919689364,! DATA UNIT dB,
44564.5645645646,-36.5974286040899,BEGIN,
45535.5355355355,-42.1280629250978,,
46506.5065065065,-40.2570719609331,,
47477.4774774775,-38.6684267209029,,
48448.4484484485,-43.8942964625484,,
49419.4194194194,-45.7357401790693,,
50390.3903903904,-38.9116784433169,,
51361.3613613614,-40.4946773900734,,
52332.3323323323,-40.7357851117235,,
53303.3033033033,-42.9071105547007,,
54274.2742742743,-42.0017642574398,,
55245.2452452453,-47.6718390965223,,
56216.2162162162,-45.946968490721,,
57187.1871871872,-39.206637551171,,
58158.1581581582,-41.1885881774413,,
59129.1291291291,-43.933140839456,,
60100.1001001001,-41.8151662918842,,
61071.0710710711,-44.3656191841054,,
62042.0420420421,-46.4077974710851,,
63013.013013013,-42.3714601723167,,
63983.983983984,-44.6849470586167,,
64954.954954955,-48.7751568535944,,
65925.9259259259,-42.4027520931981,,
66896.8968968969,-45.0562816313385,,
67867.8678678679,-41.5892724810274,,
68838.8388388389,-42.2143075397649,,
69809.8098098098,-48.8983434197144,,
70780.7807807808,-47.5886160950287,,
71751.7517517518,-46.9732534773263,,
72722.7227227227,-43.5100864584869,,
73693.6936936937,-43.3772539061036,,
74664.6646646647,-44.042859756583,,
75635.6356356357,-48.3718623235735,,
76606.6066066066,-48.3776431655822,,
77577.5775775776,-44.4071936956154,,
78548.5485485486,-48.3029109988608,,
79519.5195195195,-43.967485489873,,
80490.4904904905,-47.8353232632245,,
81461.4614614615,-47.3751455993481,,
82432.4324324325,-47.1400420829315,,
83403.4034034034,-47.508811598547,,
84374.3743743744,-48.5439932276298,,
85345.3453453454,-48.9657959974543,,
86316.3163163163,-46.6669291359605,,
87287.2872872873,-45.4210156517206,,
88258.2582582583,-54.7378955684394,,
89229.2292292293,-49.5898497895047,,
90200.2002002002,-51.0984440785924,,
91171.1711711712,-48.9461679183105,,
92142.1421421422,-48.5150718993601,,
93113.1131131131,-52.164431902345,,
94084.0840840841,-48.8266096282564,,
95055.0550550551,-59.3061990325598,,
96026.0260260261,-51.7022819940512,,
96996.996996997,-55.8589961299461,,
97967.967967968,-51.6931441299691,,
98938.938938939,-50.685775897288,,
99909.9099099099,-49.0363070432711,,
100880.880880881,-51.8244613719262,,
101851.851851852,-50.7009249826354,,
102822.822822823,-54.6043016084528,,
103793.793793794,-47.4321984844313,,
104764.764764765,-50.4925201725436,,
105735.735735736,-50.4072132368358,,
106706.706706707,-59.2805380584019,,
107677.677677678,-49.3217024430761,,
108648.648648649,-50.7115340582289,,
109619.61961962,-51.9090520314532,,
110590.590590591,-52.1826468895417,,
111561.561561562,-53.8305704806122,,
112532.532532533,-50.2373811720325,,
113503.503503504,-58.2078378649352,,
114474.474474475,-55.4351057038544,,
115445.445445445,-48.3282883304873,,
116416.416416416,-50.6778034652933,,
117387.387387387,-53.1165467947604,,
118358.358358358,-52.9100552721485,,
119329.329329329,-51.3619254061885,,
120300.3003003,-53.0596858916303,,
121271.271271271,-49.7317089420842,,
122242.242242242,-57.1419933805292,,
123213.213213213,-57.0896640102871,,
124184.184184184,-57.3637900446862,,
125155.155155155,-63.8477829741962,,
126126.126126126,-52.1593666976098,,
127097.097097097,-49.5515672592424,,
128068.068068068,-54.3774467439021,,
129039.039039039,-55.7641183500774,,
130010.01001001,-54.7817364774355,,
130980.980980981,-58.5049382389705,,
131951.951951952,-48.4187120454316,,
132922.922922923,-53.1048707223116,,
133893.893893894,-52.58179024702,,
134864.864864865,-51.2115679479986,,
135835.835835836,-48.8333502103521,,
136806.806806807,-55.2047060077256,,
137777.777777778,-49.4238187379587,,
138748.748748749,-53.7132284326398,,
139719.71971972,-51.8706931841575,,
140690.690690691,-52.8902414301707,,
141661.661661662,-48.279871372208,,
142632.632632633,-58.7640473475011,,
143603.603603603,-51.8907829052781,,
144574.574574574,-66.3153400068182,,
145545.545545545,-49.9346412504863,,
146516.516516516,-57.6284881106181,,
147487.487487487,-53.4095952862565,,
148458.458458458,-51.6643463328633,,
149429.429429429,-53.0532723875482,,
150400.4004004,-53.3334875527886,,
151371.371371371,-51.8405308457301,,
152342.342342342,-56.9688542155969,,
153313.313313313,-58.6689863607437,,
154284.284284284,-58.9850113274479,,
155255.255255255,-53.3239429621438,,
156226.226226226,-67.8753044489284,,
157197.197197197,-54.1110453770654,,
158168.168168168,-56.6401584489813,,
159139.139139139,-54.3861961324995,,
160110.11011011,-56.4411604847677,,
161081.081081081,-51.3136639482235,,
162052.052052052,-66.3822101023448,,
163023.023023023,-62.2490448697564,,
163993.993993994,-54.8923895116774,,
164964.964964965,-58.8657366543766,,
165935.935935935,-57.6946853084813,,
166906.906906906,-52.73858499267,,
167877.877877877,-63.3468789482883,,
168848.848848848,-57.3792602447317,,
169819.819819819,-57.7835833546718,,
170790.79079079,-53.0544679935625,,
171761.761761761,-51.8522081796084,,
172732.732732732,-50.7570472497029,,
173703.703703703,-53.2318626336695,,
174674.674674674,-53.1507461901416,,
175645.645645645,-57.8916139865684,,
176616.616616616,-53.7476358276572,,
177587.587587587,-54.6554068979135,,
178558.558558558,-67.4636464583451,,
179529.529529529,-56.091234440222,,
180500.5005005,-52.5547672253296,,
181471.471471471,-56.0003641054476,,
182442.442442442,-51.6193723624204,,
183413.413413413,-57.8255205659759,,
184384.384384384,-58.4533924157637,,
185355.355355355,-56.6875439286203,,
186326.326326326,-56.7128291549881,,
187297.297297297,-65.6127632328852,,
188268.268268267,-52.6348394688963,,
189239.239239238,-67.7174456388743,,
190210.210210209,-53.3738025235889,,
191181.18118118,-55.0272282667555,,
192152.152152151,-55.7124647806413,,
193123.123123122,-58.6939329725,,
194094.094094093,-58.4486079433184,,
195065.065065064,-62.8256853918311,,
196036.036036035,-51.5304804376233,,
197007.007007006,-62.4728531903165,,
197977.977977977,-56.0330114797957,,
198948.948948948,-57.4200640082072,,
199919.919919919,-61.8130004236809,,
200890.89089089,-56.887836036222,,
201861.861861861,-55.951524751466,,
202832.832832832,-68.4040823162818,,
203803.803803803,-81.8503714756594,,
204774.774774774,-56.3217477971563,,
205745.745745745,-54.8955384230403,,
206716.716716716,-55.6384345686204,,
