Frequency,Attenuation,! FILETYPE CSV,
30000,-62.559043733488,! VERSION 1.0,1
30970.970970971,-64.4630147308823,! TIMESTAMP Tuesday, 18 February 2020 15:17:15
31941.9419419419,-90.7465319645052,! NAME Agilent Technologies,
32912.9129129129,-60.3592250456036,! MODEL N9916A,
33883.8838838839,-61.4469448756812,! SERIAL MY53103049,
34854.8548548549,-64.9517352997594,! FIRMWARE_VERSION A.07.32,
35825.8258258258,-75.9484175720296,! GPS_LATITUDE ,
36796.7967967968,-62.5742408040938,! GPS_LONGITUDE ,
37767.7677677678,-65.2322772975916,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
38738.7387387387,-75.8730962698264,! GPS_SECS_SINCE_LAST_READ 0,
39709.7097097097,-84.4811106301135,! CHECKSUM 1346202558,
40680.6806806807,-78.1229629406392,! CORRECTION1 Rdy,
41651.6516516517,-72.1324431426679,! DATA Freq,S21
42622.6226226226,-75.94331712086,! FREQ UNIT Hz,
43593.5935935936,-68.7474127015851,! DATA UNIT dB,
44564.5645645646,-69.3060003173802,BEGIN,
45535.5355355355,-74.9769126115585,,
46506.5065065065,-73.6659138293072,,
47477.4774774775,-77.9204947993375,,
48448.4484484485,-70.8309258051115,,
49419.4194194194,-71.4655387555349,,
50390.3903903904,-76.5355261328251,,
51361.3613613614,-71.1658828168143,,
52332.3323323323,-71.3066570954173,,
53303.3033033033,-69.3005094586211,,
54274.2742742743,-74.0086695822475,,
55245.2452452453,-77.3348661043877,,
56216.2162162162,-75.5760235899669,,
57187.1871871872,-69.0464750554149,,
58158.1581581582,-70.9997122572157,,
59129.1291291291,-68.2146928730109,,
60100.1001001001,-69.734270837174,,
61071.0710710711,-73.7361887715572,,
62042.0420420421,-69.7247533950057,,
63013.013013013,-72.037350900196,,
63983.983983984,-69.3191850562804,,
64954.954954955,-70.6851174260005,,
65925.9259259259,-74.5332733085368,,
66896.8968968969,-68.9876996084544,,
67867.8678678679,-72.4909962321062,,
68838.8388388389,-73.4974390671498,,
69809.8098098098,-70.3366642223206,,
70780.7807807808,-69.3028837182073,,
71751.7517517518,-70.1513594656051,,
72722.7227227227,-71.6158846503049,,
73693.6936936937,-71.1547188210542,,
74664.6646646647,-73.9417152324303,,
75635.6356356357,-74.0881547724353,,
76606.6066066066,-76.3700008090385,,
77577.5775775776,-77.1954901558807,,
78548.5485485486,-70.9284841591104,,
79519.5195195195,-74.85834158797,,
80490.4904904905,-71.9961512197882,,
81461.4614614615,-78.6851044888341,,
82432.4324324325,-72.647876184158,,
83403.4034034034,-71.3971705013767,,
84374.3743743744,-82.0363081356354,,
85345.3453453454,-76.5926299081116,,
86316.3163163163,-78.0365585811123,,
87287.2872872873,-79.0673580861504,,
88258.2582582583,-78.534261265638,,
89229.2292292293,-73.3292338960277,,
90200.2002002002,-77.3271743318898,,
91171.1711711712,-78.0656053641902,,
92142.1421421422,-118.395583861275,,
93113.1131131131,-78.1047444521157,,
94084.0840840841,-81.2340862902512,,
